time,node_id,cpu_utilization,memory_utilization,power_consumption,temperature,thermal_throttling,active_jobs
0,node_0,1.0,0.0,60.0,22.0,False,0
0,node_1,1.0,0.0,60.0,22.0,False,0
0,node_2,1.0,0.0,60.0,22.0,False,0
0,node_3,1.0,0.0,60.0,22.0,False,0
0,node_4,1.0,0.0,60.0,22.0,False,0
0,node_5,1.0,0.0,60.0,22.0,False,0
0,node_6,1.0,0.0,60.0,22.0,False,0
0,node_7,1.0,0.0,60.0,22.0,False,0
0,node_8,1.0,0.0,60.0,22.0,False,0
0,node_9,1.0,0.0,60.0,22.0,False,0
60,node_0,0.625,0.768,679.6678601165966,54.624057285596635,False,3
60,node_1,0.625,0.768,657.9451279688833,53.5813661425064,False,3
60,node_2,1.0,0.0,60.0,24.88,False,0
60,node_3,1.0,0.0,60.0,24.88,False,0
60,node_4,1.0,0.0,60.0,24.88,False,0
60,node_5,1.0,0.0,60.0,24.88,False,0
60,node_6,1.0,0.0,60.0,24.88,False,0
60,node_7,1.0,0.0,60.0,24.88,False,0
60,node_8,1.0,0.0,60.0,24.88,False,0
60,node_9,1.0,0.0,60.0,24.88,False,0
120,node_0,0.625,0.768,688.0795040737673,22.0,False,3
120,node_1,0.625,0.768,690.7332089410068,22.0,False,3
120,node_2,0.625,0.768,679.6678601165966,48.864057285596644,False,3
120,node_3,0.625,0.768,657.9451279688833,47.821366142506406,False,3
120,node_4,1.0,0.0,60.0,22.0,False,0
120,node_5,1.0,0.0,60.0,22.0,False,0
120,node_6,1.0,0.0,60.0,22.0,False,0
120,node_7,1.0,0.0,60.0,22.0,False,0
120,node_8,1.0,0.0,60.0,22.0,False,0
120,node_9,1.0,0.0,60.0,22.0,False,0
180,node_0,0.625,0.768,645.3908845217311,52.97876245704309,False,3
180,node_1,0.625,0.768,671.8540288557753,54.24899338507721,False,3
180,node_2,0.625,0.768,688.0795040737673,22.0,False,3
180,node_3,0.625,0.768,690.7332089410068,22.0,False,3
180,node_4,0.625,0.768,679.6678601165966,54.624057285596635,False,3
180,node_5,0.625,0.768,657.9451279688833,53.5813661425064,False,3
180,node_6,1.0,0.0,60.0,24.88,False,0
180,node_7,1.0,0.0,60.0,24.88,False,0
180,node_8,1.0,0.0,60.0,24.88,False,0
180,node_9,1.0,0.0,60.0,24.88,False,0
240,node_0,0.625,0.768,585.6489842491253,22.0,False,3
240,node_1,0.625,0.768,614.4123799490026,22.0,False,3
240,node_2,0.625,0.768,645.3908845217311,52.97876245704309,False,3
240,node_3,0.625,0.768,671.8540288557753,54.24899338507721,False,3
240,node_4,0.625,0.768,688.0795040737673,22.0,False,3
240,node_5,0.625,0.768,690.7332089410068,22.0,False,3
240,node_6,0.625,0.768,679.6678601165966,48.864057285596644,False,3
240,node_7,0.625,0.768,657.9451279688833,47.821366142506406,False,3
240,node_8,1.0,0.0,60.0,22.0,False,0
240,node_9,1.0,0.0,60.0,22.0,False,0
300,node_0,0.625,0.768,557.137970358817,48.742622577223216,False,3
300,node_1,0.625,0.768,565.2151446919138,49.13032694521186,False,3
300,node_2,0.625,0.768,585.6489842491253,22.0,False,3
300,node_3,0.625,0.768,614.4123799490026,22.0,False,3
300,node_4,0.625,0.768,645.3908845217311,52.97876245704309,False,3
300,node_5,0.625,0.768,671.8540288557753,54.24899338507721,False,3
300,node_6,0.625,0.768,688.0795040737673,22.0,False,3
300,node_7,0.625,0.768,690.7332089410068,22.0,False,3
300,node_8,0.625,0.768,679.6678601165966,54.624057285596635,False,3
300,node_9,0.625,0.768,657.9451279688833,53.5813661425064,False,3
360,node_0,0.625,0.768,578.7181743092846,22.0,False,3
360,node_1,0.625,0.768,562.3982984664966,22.0,False,3
360,node_2,0.625,0.768,557.137970358817,48.742622577223216,False,3
360,node_3,0.625,0.768,565.2151446919138,49.13032694521186,False,3
360,node_4,0.625,0.768,585.6489842491253,22.0,False,3
360,node_5,0.625,0.768,614.4123799490026,22.0,False,3
360,node_6,0.625,0.768,645.3908845217311,52.97876245704309,False,3
360,node_7,0.625,0.768,671.8540288557753,54.24899338507721,False,3
360,node_8,0.625,0.768,688.0795040737673,22.0,False,3
360,node_9,0.625,0.768,690.7332089410068,22.0,False,3
420,node_0,0.625,0.768,623.2954052154221,51.91817945034026,False,3
420,node_1,0.625,0.768,601.146011608675,50.85500855721641,False,3
420,node_2,0.625,0.768,578.7181743092846,22.0,False,3
420,node_3,0.625,0.768,562.3982984664966,22.0,False,3
420,node_4,0.625,0.768,557.137970358817,48.742622577223216,False,3
420,node_5,0.625,0.768,565.2151446919138,49.13032694521186,False,3
420,node_6,0.625,0.768,585.6489842491253,22.0,False,3
420,node_7,0.625,0.768,614.4123799490026,22.0,False,3
420,node_8,0.625,0.768,645.3908845217311,52.97876245704309,False,3
420,node_9,0.625,0.768,671.8540288557753,54.24899338507721,False,3
480,node_0,0.625,0.768,643.5297281711056,22.0,False,3
